policy_id,provider,insurance_type,job_role,annual_salary,coverage_amount,time_period,financial_goal,dependents,health_condition,existing_policy,coverage_level,premium_level,policy_name
H001,Star Health,Health,Software Engineer,300000,500000,Long,Health Security,2,Normal,No,Medium,Low,Star Basic Health
H002,Star Health,Health,School Teacher,400000,1000000,Long,Family Protection,3,Normal,Yes,High,Medium,Star Family Health Optima
H003,Niva Bupa,Health,Doctor,600000,2000000,Long,Medical Safety,4,Diabetes,Yes,High,High,Niva Senior Secure
H004,HDFC ERGO,Health,Business Owner,350000,700000,Medium,Health Coverage,2,Normal,No,Medium,Medium,HDFC Health Suraksha
H005,Care Health,Health,College Lecturer,250000,500000,Short,Health Backup,1,Normal,No,Low,Low,Care Youth Plan
H006,ICICI Lombard,Health,Police Officer,600000,2000000,Long,Medical Security,4,Hypertension,Yes,High,High,ICICI Complete Health
H007,Niva Bupa,Health,Startup Founder,320000,750000,Medium,Health Planning,2,Normal,No,Medium,Low,Bupa Young Care
H008,HDFC ERGO,Health,Retired Government Employee,400000,1500000,Long,Senior Protection,2,Diabetes,Yes,High,High,HDFC Senior Secure
H009,Care Health,Health,Chartered Accountant,500000,1200000,Long,Family Health,4,Normal,Yes,High,Medium,Care Advantage
H010,Star Health,Health,Bank Manager,450000,800000,Medium,Health Safety,3,Normal,No,Medium,Medium,Star Health Plus
H011,Star Health,Health,Professor,550000,1800000,Long,Medical Security,4,Normal,Yes,High,High,Star Comprehensive
H012,Niva Bupa,Health,Army Officer,650000,2500000,Long,Health Protection,4,Normal,Yes,High,High,Niva Health Secure
H013,HDFC ERGO,Health,Government Clerk,280000,500000,Short,Health Backup,1,Normal,No,Low,Low,HDFC Young Health
H014,Care Health,Health,HR Manager,480000,1000000,Long,Family Protection,3,Normal,Yes,High,Medium,Care Family Plus
H015,ICICI Lombard,Health,Senior Software Engineer,700000,3000000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Boost
H016,Star Health,Health,Data Scientist,650000,2200000,Long,Medical Safety,3,Normal,Yes,High,High,Star Health Premium
H017,Niva Bupa,Health,Pharmacist,420000,900000,Medium,Health Coverage,2,Normal,No,Medium,Medium,Niva Health Lite
H018,HDFC ERGO,Health,Civil Engineer,500000,1500000,Long,Health Security,3,Normal,Yes,High,Medium,HDFC Optima Secure
H019,Care Health,Health,Nurse,300000,600000,Medium,Health Planning,2,Normal,No,Medium,Low,Care Secure Plus
H020,ICICI Lombard,Health,Hospital Administrator,800000,3500000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health AdvantEdge
H021,Star Health,Health,Marketing Manager,520000,1200000,Long,Health Coverage,3,Normal,Yes,High,Medium,Star Medi Assist
H022,Niva Bupa,Health,Financial Analyst,600000,1800000,Long,Medical Safety,3,Normal,Yes,High,High,Niva Health Plus
H023,HDFC ERGO,Health,Research Scientist,700000,2500000,Long,Health Security,2,Normal,Yes,High,High,HDFC Health Infinity
H024,Care Health,Health,Operations Manager,480000,1100000,Medium,Health Planning,3,Normal,No,Medium,Medium,Care Easy Health
H025,ICICI Lombard,Health,IT Project Manager,900000,4000000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Max
H026,Star Health,Health,QA Engineer,380000,850000,Medium,Health Coverage,2,Normal,No,Medium,Medium,Star Medi Classic
H027,Niva Bupa,Health,UX Designer,450000,1000000,Medium,Health Safety,2,Normal,No,Medium,Medium,Niva Care Plus
H028,HDFC ERGO,Health,Mechanical Engineer,520000,1400000,Long,Health Security,3,Normal,Yes,High,Medium,HDFC Health Advance
H029,Care Health,Health,Sales Executive,300000,600000,Short,Health Backup,1,Normal,No,Low,Low,Care Starter Health
H030,ICICI Lombard,Health,Product Manager,850000,3200000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Elite
H031,Star Health,Health,Architect,600000,2000000,Long,Medical Safety,3,Normal,Yes,High,High,Star Platinum Health
H032,Niva Bupa,Health,Interior Designer,420000,950000,Medium,Health Coverage,2,Normal,No,Medium,Medium,Niva Health Smart
H033,HDFC ERGO,Health,Electrical Engineer,550000,1600000,Long,Health Security,3,Normal,Yes,High,Medium,HDFC Secure Health
H034,Care Health,Health,HR Executive,350000,750000,Medium,Health Planning,2,Normal,No,Medium,Low,Care Value Health
H035,ICICI Lombard,Health,Supply Chain Manager,780000,2800000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Prime
H036,Star Health,Health,Content Writer,320000,650000,Short,Health Backup,1,Normal,No,Low,Low,Star Basic Care
H037,Niva Bupa,Health,Digital Marketer,450000,1000000,Medium,Health Safety,2,Normal,No,Medium,Medium,Niva Health Boost
H038,HDFC ERGO,Health,Construction Manager,650000,2200000,Long,Medical Security,4,Normal,Yes,High,High,HDFC Health Shield
H039,Care Health,Health,Clinic Manager,500000,1300000,Long,Family Health,3,Normal,Yes,High,Medium,Care Health Plus
H040,ICICI Lombard,Health,Technology Director,1000000,4500000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Ultra
H041,Star Health,Health,Bio Researcher,700000,2600000,Long,Medical Safety,2,Normal,Yes,High,High,Star Elite Health
H042,Niva Bupa,Health,Economics Professor,650000,2000000,Long,Health Security,2,Normal,Yes,High,High,Niva Secure Plus
H043,HDFC ERGO,Health,Legal Advisor,600000,1800000,Long,Health Coverage,3,Normal,Yes,High,Medium,HDFC Health Legal
H044,Care Health,Health,Operations Analyst,480000,1100000,Medium,Health Planning,2,Normal,No,Medium,Medium,Care Smart Health
H045,ICICI Lombard,Health,Chief Engineer,900000,3800000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Supreme
H046,Star Health,Health,Media Producer,520000,1400000,Long,Health Security,3,Normal,Yes,High,Medium,Star Health Advance
H047,Niva Bupa,Health,Public Relations Manager,580000,1700000,Long,Health Safety,3,Normal,Yes,High,Medium,Niva Health Prime
H048,HDFC ERGO,Health,Policy Analyst,650000,2200000,Long,Medical Security,2,Normal,Yes,High,High,HDFC Health Elite
H049,Care Health,Health,NGO Director,700000,2500000,Long,Family Health,4,Normal,Yes,High,High,Care Health Supreme
H050,ICICI Lombard,Health,Chief Technology Officer,1200000,5000000,Long,Premium Health,5,Normal,Yes,High,High,ICICI Health Ultimate
C001,ICICI Lombard,Car,Software Engineer,400000,500000,Long,Asset Protection,4,Normal,Yes,High,Medium,Car Protect Plus
C002,Bajaj Allianz,Car,Police Officer,300000,400000,Long,Vehicle Safety,3,Normal,No,Medium,Low,Bajaj Car Shield
C003,Tata AIG,Car,Business Owner,500000,700000,Long,Car Protection,5,Normal,Yes,High,High,Tata Motor Secure
C004,Acko,Car,Startup Founder,250000,300000,Medium,Budget Insurance,2,Normal,No,Medium,Low,Acko Smart Drive
C005,HDFC ERGO,Car,Bank Manager,450000,600000,Long,Auto Security,4,Normal,Yes,High,Medium,HDFC Car Secure
C006,ICICI Lombard,Car,Chartered Accountant,600000,900000,Long,Premium Protection,5,Normal,Yes,High,High,ICICI Platinum Car
C007,Bajaj Allianz,Car,Sales Executive,300000,350000,Medium,Budget Insurance,2,Normal,No,Low,Low,Bajaj Budget Car
C008,Tata AIG,Car,Factory Manager,700000,1200000,Long,Premium Protection,4,Normal,Yes,High,High,Tata Premium Drive
C009,Acko,Car,Freelancer,380000,500000,Medium,Smart Coverage,3,Normal,No,Medium,Medium,Acko Drive Plus
C010,HDFC ERGO,Car,Operations Manager,500000,800000,Long,Vehicle Asset Protection,4,Normal,Yes,High,Medium,HDFC Motor Protect
C011,ICICI Lombard,Car,Data Analyst,420000,550000,Long,Car Safety,3,Normal,No,High,Medium,ICICI Smart Drive
C012,Bajaj Allianz,Car,HR Manager,380000,480000,Medium,Vehicle Safety,3,Normal,No,Medium,Low,Bajaj Drive Secure
C013,Tata AIG,Car,Plant Engineer,650000,1000000,Long,Auto Security,4,Normal,Yes,High,High,Tata Auto Secure
C014,Acko,Car,Content Creator,300000,350000,Short,Budget Insurance,1,Normal,No,Low,Low,Acko Easy Drive
C015,HDFC ERGO,Car,Mechanical Engineer,550000,750000,Long,Car Protection,4,Normal,Yes,High,Medium,HDFC Auto Shield
C016,ICICI Lombard,Car,Technology Consultant,800000,1500000,Long,Premium Protection,5,Normal,Yes,High,High,ICICI Car Elite
C017,Bajaj Allianz,Car,Marketing Executive,320000,420000,Medium,Smart Coverage,2,Normal,No,Medium,Low,Bajaj Drive Smart
C018,Tata AIG,Car,Electrical Engineer,480000,650000,Long,Vehicle Safety,3,Normal,Yes,High,Medium,Tata Secure Drive
C019,Acko,Car,UI Designer,360000,500000,Medium,Car Safety,2,Normal,No,Medium,Medium,Acko Drive Safe
C020,HDFC ERGO,Car,Project Manager,600000,900000,Long,Asset Protection,4,Normal,Yes,High,Medium,HDFC Car Advantage
C021,ICICI Lombard,Car,Product Manager,750000,1300000,Long,Premium Protection,4,Normal,Yes,High,High,ICICI Car Prime
C022,Bajaj Allianz,Car,Area Sales Manager,420000,520000,Medium,Vehicle Safety,3,Normal,No,Medium,Medium,Bajaj Drive Plus
C023,Tata AIG,Car,Construction Manager,680000,1100000,Long,Auto Security,4,Normal,Yes,High,High,Tata Drive Secure
C024,Acko,Car,Graphic Designer,340000,450000,Medium,Smart Coverage,2,Normal,No,Medium,Low,Acko Drive Smart
C025,HDFC ERGO,Car,Supply Chain Manager,620000,950000,Long,Asset Protection,4,Normal,Yes,High,Medium,HDFC Car Secure Plus
C026,ICICI Lombard,Car,Cloud Architect,900000,1800000,Long,Premium Protection,5,Normal,Yes,High,High,ICICI Car Ultra
C027,Bajaj Allianz,Car,Relationship Manager,380000,500000,Medium,Vehicle Safety,3,Normal,No,Medium,Medium,Bajaj Auto Protect
C028,Tata AIG,Car,Quality Manager,520000,800000,Long,Car Protection,4,Normal,Yes,High,Medium,Tata Motor Plus
C029,Acko,Car,Video Editor,300000,400000,Short,Budget Insurance,1,Normal,No,Low,Low,Acko Drive Mini
C030,HDFC ERGO,Car,Senior Engineer,650000,1000000,Long,Premium Protection,4,Normal,Yes,High,High,HDFC Car Elite
C031,ICICI Lombard,Car,IT Director,1000000,2000000,Long,Asset Protection,5,Normal,Yes,High,High,ICICI Car Supreme
C032,Bajaj Allianz,Car,Branch Manager,480000,650000,Long,Vehicle Safety,4,Normal,Yes,High,Medium,Bajaj Car Advantage
C033,Tata AIG,Car,Urban Planner,560000,850000,Long,Auto Security,3,Normal,Yes,High,Medium,Tata Auto Prime
C034,Acko,Car,Digital Strategist,390000,520000,Medium,Smart Coverage,2,Normal,No,Medium,Medium,Acko Drive Pro
C035,HDFC ERGO,Car,Finance Manager,700000,1200000,Long,Asset Protection,4,Normal,Yes,High,High,HDFC Car Max
C036,ICICI Lombard,Car,AI Engineer,850000,1600000,Long,Premium Protection,4,Normal,Yes,High,High,ICICI Car Tech
C037,Bajaj Allianz,Car,Operations Executive,360000,480000,Medium,Vehicle Safety,3,Normal,No,Medium,Low,Bajaj Drive Care
C038,Tata AIG,Car,Logistics Manager,600000,950000,Long,Auto Security,4,Normal,Yes,High,Medium,Tata Auto Shield
C039,Acko,Car,Game Developer,450000,650000,Medium,Smart Coverage,3,Normal,No,Medium,Medium,Acko Drive Plus Pro
C040,HDFC ERGO,Car,Senior Consultant,800000,1400000,Long,Asset Protection,5,Normal,Yes,High,High,HDFC Car Supreme
C041,ICICI Lombard,Car,Chief Architect,950000,1900000,Long,Premium Protection,5,Normal,Yes,High,High,ICICI Car Apex
C042,Bajaj Allianz,Car,Store Manager,420000,550000,Medium,Vehicle Safety,3,Normal,No,Medium,Medium,Bajaj Auto Secure
C043,Tata AIG,Car,Site Engineer,500000,800000,Long,Car Protection,4,Normal,Yes,High,Medium,Tata Drive Protect
C044,Acko,Car,Media Planner,350000,480000,Medium,Smart Coverage,2,Normal,No,Medium,Low,Acko Drive Flex
C045,HDFC ERGO,Car,Audit Manager,720000,1250000,Long,Asset Protection,4,Normal,Yes,High,High,HDFC Car Secure Max
C046,ICICI Lombard,Car,Enterprise Architect,1100000,2200000,Long,Premium Protection,5,Normal,Yes,High,High,ICICI Car Ultimate
C047,Bajaj Allianz,Car,Field Supervisor,380000,500000,Medium,Vehicle Safety,3,Normal,No,Medium,Low,Bajaj Car Assist
C048,Tata AIG,Car,Urban Designer,580000,900000,Long,Auto Security,4,Normal,Yes,High,Medium,Tata Auto Advantage
C049,Acko,Car,UX Researcher,420000,600000,Medium,Smart Coverage,2,Normal,No,Medium,Medium,Acko Drive Research
C050,HDFC ERGO,Car,Chief Operations Officer,1200000,2500000,Long,Premium Protection,5,Normal,Yes,High,High,HDFC Car Ultimate
B001,Bajaj Allianz,Bike,College Student,150000,150000,Short,Bike Safety,1,Normal,No,Low,Low,Bike Shield
B002,ICICI Lombard,Bike,Junior Software Engineer,250000,200000,Medium,Two Wheeler Cover,2,Normal,No,Medium,Low,ICICI Bike Basic
B003,Tata AIG,Bike,Delivery Executive,200000,180000,Short,Budget Protection,1,Normal,No,Low,Low,Tata Bike Start
B004,Acko,Bike,Graphic Design Student,180000,120000,Short,Budget Insurance,1,Normal,No,Low,Low,Acko Bike Smart
B005,HDFC ERGO,Bike,Sales Executive,280000,220000,Medium,Ride Safety,2,Normal,No,Medium,Medium,HDFC Bike Protect
B006,Bajaj Allianz,Bike,Junior Accountant,300000,260000,Medium,Bike Protection,2,Normal,No,Medium,Low,Bajaj Ride Secure
B007,ICICI Lombard,Bike,QA Engineer,350000,300000,Long,Two Wheeler Secure,3,Normal,Yes,High,Medium,ICICI Bike Plus
B008,Tata AIG,Bike,Mechanical Diploma Holder,320000,280000,Medium,Vehicle Security,2,Normal,No,Medium,Medium,Tata Bike Secure
B009,Acko,Bike,Content Writer,260000,200000,Medium,Ride Safety Plus,2,Normal,No,Medium,Low,Acko Ride Safe
B010,HDFC ERGO,Bike,Field Engineer,400000,350000,Long,Elite Bike Cover,3,Normal,Yes,High,High,HDFC Bike Elite
B011,Bajaj Allianz,Bike,Freelance Photographer,220000,180000,Short,Budget Insurance,1,Normal,No,Low,Low,Bajaj Bike Basic
B012,ICICI Lombard,Bike,Technical Support Engineer,300000,250000,Medium,Two Wheeler Cover,2,Normal,No,Medium,Medium,ICICI Bike Smart
B013,Tata AIG,Bike,Warehouse Supervisor,280000,230000,Medium,Bike Safety,2,Normal,No,Medium,Low,Tata Ride Secure
B014,Acko,Bike,Media Intern,200000,150000,Short,Entry Protection,1,Normal,No,Low,Low,Acko Ride Easy
B015,HDFC ERGO,Bike,Service Engineer,350000,300000,Long,Ride Protection,3,Normal,Yes,High,Medium,HDFC Bike Advantage
B016,Bajaj Allianz,Bike,Operations Assistant,260000,220000,Medium,Bike Protection,2,Normal,No,Medium,Low,Bajaj Ride Plus
B017,ICICI Lombard,Bike,Network Technician,380000,350000,Long,Vehicle Security,3,Normal,Yes,High,High,ICICI Bike Secure
B018,Tata AIG,Bike,ITI Student,180000,140000,Short,Entry Protection,1,Normal,No,Low,Low,Tata Ride Start
B019,Acko,Bike,Video Editor,300000,260000,Medium,Bike Safety,2,Normal,No,Medium,Medium,Acko Ride Plus
B020,HDFC ERGO,Bike,Maintenance Supervisor,420000,400000,Long,Elite Protection,3,Normal,Yes,High,High,HDFC Bike Secure Max
B021,Bajaj Allianz,Bike,Junior HR Executive,240000,200000,Medium,Ride Safety,2,Normal,No,Medium,Low,Bajaj Bike Smart
B022,ICICI Lombard,Bike,System Administrator,360000,320000,Long,Two Wheeler Secure,3,Normal,Yes,High,Medium,ICICI Two Wheeler Elite
B023,Tata AIG,Bike,Electrical Technician,300000,260000,Medium,Vehicle Security,2,Normal,No,Medium,Medium,Tata Bike Plus
B024,Acko,Bike,Digital Marketing Trainee,220000,180000,Short,Budget Insurance,1,Normal,No,Low,Low,Acko Bike Easy
B025,HDFC ERGO,Bike,Customer Support Lead,380000,350000,Long,Ride Safety,3,Normal,Yes,High,Medium,HDFC Bike Prime
B026,Bajaj Allianz,Bike,Field Sales Officer,280000,240000,Medium,Bike Protection,2,Normal,No,Medium,Low,Bajaj Ride Care
B027,ICICI Lombard,Bike,Automation Tester,420000,380000,Long,Vehicle Security,3,Normal,Yes,High,High,ICICI Bike Pro
B028,Tata AIG,Bike,Industrial Trainee,200000,160000,Short,Entry Protection,1,Normal,No,Low,Low,Tata Bike Entry
B029,Acko,Bike,Social Media Executive,300000,260000,Medium,Bike Safety,2,Normal,No,Medium,Medium,Acko Ride Smart
B030,HDFC ERGO,Bike,Regional Technician,450000,420000,Long,Elite Protection,3,Normal,Yes,High,High,HDFC Bike Ultra
B031,Bajaj Allianz,Bike,Operations Coordinator,320000,280000,Medium,Ride Safety,2,Normal,No,Medium,Medium,Bajaj Bike Plus
B032,ICICI Lombard,Bike,Infrastructure Engineer,500000,480000,Long,Two Wheeler Secure,3,Normal,Yes,High,High,ICICI Bike Supreme
B033,Tata AIG,Bike,Manufacturing Trainee,240000,200000,Short,Budget Protection,1,Normal,No,Low,Low,Tata Ride Basic
B034,Acko,Bike,UI Intern,180000,140000,Short,Entry Protection,1,Normal,No,Low,Low,Acko Ride Start
B035,HDFC ERGO,Bike,Senior Field Engineer,520000,500000,Long,Elite Bike Cover,3,Normal,Yes,High,High,HDFC Bike Elite Plus
B036,Bajaj Allianz,Bike,Warehouse Executive,260000,220000,Medium,Bike Safety,2,Normal,No,Medium,Low,Bajaj Ride Assist
B037,ICICI Lombard,Bike,Mobile App Developer,480000,450000,Long,Vehicle Security,3,Normal,Yes,High,High,ICICI Bike Tech
B038,Tata AIG,Bike,Technical Sales Engineer,420000,380000,Long,Ride Safety,3,Normal,Yes,High,Medium,Tata Bike Advantage
B039,Acko,Bike,Brand Executive,340000,300000,Medium,Bike Protection,2,Normal,No,Medium,Medium,Acko Ride Pro
B040,HDFC ERGO,Bike,Operations Head,600000,600000,Long,Elite Protection,4,Normal,Yes,High,High,HDFC Bike Ultimate
B041,Bajaj Allianz,Bike,Store Supervisor,280000,240000,Medium,Bike Safety,2,Normal,No,Medium,Low,Bajaj Bike Guard
B042,ICICI Lombard,Bike,DevOps Engineer,550000,520000,Long,Vehicle Security,3,Normal,Yes,High,High,ICICI Bike Dev
B043,Tata AIG,Bike,Tool Room Technician,300000,260000,Medium,Ride Protection,2,Normal,No,Medium,Medium,Tata Bike Secure Plus
B044,Acko,Bike,Creative Assistant,220000,180000,Short,Budget Insurance,1,Normal,No,Low,Low,Acko Ride Mini
B045,HDFC ERGO,Bike,Senior Service Engineer,580000,550000,Long,Elite Protection,3,Normal,Yes,High,High,HDFC Bike Supreme
B046,Bajaj Allianz,Bike,Operations Manager,450000,420000,Long,Ride Safety,3,Normal,Yes,High,Medium,Bajaj Bike Max
B047,ICICI Lombard,Bike,Cloud Support Engineer,500000,480000,Long,Vehicle Security,3,Normal,Yes,High,High,ICICI Bike Cloud
B048,Tata AIG,Bike,Junior Production Engineer,360000,320000,Medium,Bike Protection,2,Normal,No,Medium,Medium,Tata Ride Plus
B049,Acko,Bike,SEO Analyst,340000,300000,Medium,Ride Safety,2,Normal,No,Medium,Medium,Acko Ride SEO
B050,HDFC ERGO,Bike,Chief Service Manager,700000,700000,Long,Elite Protection,4,Normal,Yes,High,High,HDFC Bike Ultimate Pro
L001,HDFC Life,Life,Software Engineer,400000,3000000,Long,Family Protection,4,Normal,No,High,Medium,HDFC Term Secure
L002,ICICI Prudential,Life,IAS Officer,800000,10000000,Long,Life Security,5,Normal,Yes,High,High,ICICI iProtect
L003,LIC,Life,School Teacher,300000,2000000,Long,Savings + Protection,2,Normal,No,Medium,Low,LIC Jeevan Anand
L004,Max Life,Life,Business Owner,500000,4000000,Long,Future Planning,3,Normal,Yes,High,Medium,Max Life Smart Secure
L005,Tata AIA,Life,Doctor,700000,6000000,Long,Wealth Protection,4,Normal,Yes,High,High,Tata Sampoorna Raksha
L006,LIC,Life,Government Clerk,400000,3000000,Long,Retirement Safety,3,Normal,Yes,Medium,Medium,LIC Jeevan Shanti
L007,HDFC Life,Life,Junior Engineer,250000,1500000,Long,Early Security,1,Normal,No,Low,Low,HDFC Click 2 Protect
L008,ICICI Prudential,Life,Chartered Accountant,550000,5000000,Long,Income Security,4,Normal,Yes,High,High,ICICI Income Protect
L009,Max Life,Life,HR Manager,350000,2500000,Long,Family Safety,3,Normal,No,Medium,Medium,Max Life Online Term
L010,Tata AIA,Life,Retired Army Officer,400000,2000000,Medium,Senior Planning,2,Normal,Yes,Medium,Medium,Tata AIA Senior Life
L011,HDFC Life,Life,Data Scientist,650000,4500000,Long,Family Protection,4,Normal,Yes,High,High,HDFC Life Pro
L012,ICICI Prudential,Life,IPS Officer,750000,9000000,Long,Life Security,5,Normal,Yes,High,High,ICICI Life Elite
L013,LIC,Life,College Professor,420000,2800000,Long,Savings + Protection,3,Normal,No,Medium,Medium,LIC Jeevan Labh
L014,Max Life,Life,Startup Founder,480000,3500000,Long,Future Planning,3,Normal,Yes,High,Medium,Max Life Startup Secure
L015,Tata AIA,Life,Surgeon,900000,8000000,Long,Wealth Protection,4,Normal,Yes,High,High,Tata Life Supreme
L016,LIC,Life,Police Inspector,500000,4000000,Long,Life Security,4,Normal,Yes,High,Medium,LIC Jeevan Rakshak
L017,HDFC Life,Life,Cloud Architect,800000,7000000,Long,Family Protection,4,Normal,Yes,High,High,HDFC Life Elite
L018,ICICI Prudential,Life,Investment Banker,900000,10000000,Long,Wealth Protection,5,Normal,Yes,High,High,ICICI Wealth Secure
L019,Max Life,Life,Marketing Director,650000,5000000,Long,Income Security,4,Normal,Yes,High,High,Max Life Income Plus
L020,Tata AIA,Life,Retired Government Officer,450000,2500000,Medium,Senior Planning,2,Normal,Yes,Medium,Medium,Tata AIA Golden Life
L021,HDFC Life,Life,Senior Software Engineer,700000,6000000,Long,Family Protection,4,Normal,Yes,High,High,HDFC Term Elite
L022,ICICI Prudential,Life,Tax Consultant,600000,4500000,Long,Income Security,3,Normal,Yes,High,Medium,ICICI Life Secure Plus
L023,LIC,Life,High School Principal,480000,3200000,Long,Savings + Protection,3,Normal,No,Medium,Medium,LIC Jeevan Pragati
L024,Max Life,Life,Product Manager,750000,5500000,Long,Future Planning,4,Normal,Yes,High,High,Max Life Growth Secure
L025,Tata AIA,Life,Orthopedic Doctor,850000,7000000,Long,Wealth Protection,4,Normal,Yes,High,High,Tata Life Platinum
L026,LIC,Life,Audit Officer,520000,3500000,Long,Life Security,3,Normal,Yes,High,Medium,LIC Jeevan Suraksha
L027,HDFC Life,Life,AI Researcher,900000,8000000,Long,Family Protection,4,Normal,Yes,High,High,HDFC Life AI Secure
L028,ICICI Prudential,Life,Portfolio Manager,950000,10000000,Long,Wealth Protection,5,Normal,Yes,High,High,ICICI Portfolio Life
L029,Max Life,Life,Supply Chain Head,650000,5000000,Long,Income Security,4,Normal,Yes,High,High,Max Life Income Elite
L030,Tata AIA,Life,Retired PSU Officer,480000,2800000,Medium,Senior Planning,2,Normal,Yes,Medium,Medium,Tata AIA Secure Senior
L031,HDFC Life,Life,DevOps Lead,780000,6500000,Long,Family Protection,4,Normal,Yes,High,High,HDFC DevOps Term
L032,ICICI Prudential,Life,Wealth Advisor,820000,7000000,Long,Wealth Protection,4,Normal,Yes,High,High,ICICI Wealth Elite
L033,LIC,Life,University Registrar,550000,4000000,Long,Savings + Protection,3,Normal,Yes,High,Medium,LIC Jeevan Shreshtha
L034,Max Life,Life,Creative Director,720000,5200000,Long,Future Planning,4,Normal,Yes,High,High,Max Life Creative Secure
L035,Tata AIA,Life,Neurosurgeon,1000000,9000000,Long,Wealth Protection,5,Normal,Yes,High,High,Tata Life Ultimate
L036,LIC,Life,Senior Police Officer,600000,5000000,Long,Life Security,4,Normal,Yes,High,Medium,LIC Jeevan Raksha Plus
L037,HDFC Life,Life,Chief Technology Officer,1200000,10000000,Long,Family Protection,5,Normal,Yes,High,High,HDFC Life CTO Secure
L038,ICICI Prudential,Life,Fund Manager,980000,10000000,Long,Wealth Protection,5,Normal,Yes,High,High,ICICI Fund Life
L039,Max Life,Life,Operations Director,850000,7000000,Long,Income Security,4,Normal,Yes,High,High,Max Life Ops Elite
L040,Tata AIA,Life,Retired High Court Judge,900000,8000000,Long,Legacy Planning,3,Normal,Yes,High,High,Tata AIA Legacy Secure
L041,HDFC Life,Life,Principal Architect,880000,7500000,Long,Family Protection,4,Normal,Yes,High,High,HDFC Architect Term
L042,ICICI Prudential,Life,Global HR Head,920000,8500000,Long,Wealth Protection,4,Normal,Yes,High,High,ICICI HR Elite
L043,LIC,Life,Senior Education Officer,620000,4500000,Long,Savings + Protection,3,Normal,Yes,High,Medium,LIC Jeevan Uday
L044,Max Life,Life,Strategy Consultant,860000,7200000,Long,Future Planning,4,Normal,Yes,High,High,Max Life Strategy Secure
L045,Tata AIA,Life,Chief Medical Officer,1100000,9500000,Long,Wealth Protection,5,Normal,Yes,High,High,Tata Life Supreme Plus
L046,LIC,Life,Public Sector Director,700000,6000000,Long,Life Security,4,Normal,Yes,High,High,LIC Jeevan Apex
L047,HDFC Life,Life,VP Engineering,1000000,9000000,Long,Family Protection,5,Normal,Yes,High,High,HDFC VP Secure
L048,ICICI Prudential,Life,Chief Investment Officer,1200000,10000000,Long,Wealth Protection,5,Normal,Yes,High,High,ICICI CIO Life
L049,Max Life,Life,Managing Director,1500000,12000000,Long,Legacy Planning,5,Normal,Yes,High,High,Max Life Legacy Elite
L050,Tata AIA,Life,Retired Supreme Court Judge,1200000,10000000,Long,Legacy Planning,4,Normal,Yes,High,High,Tata AIA Legacy Ultimate
